modelName,modelIndex,fileName,time,acc,recall,precision,dice,delta_t_peak,delta_peak,delta_auc,ratio_t_peak,ratio_peak,ratio_auc,aif_mse,aif_sse,aif_normalized_cross_correlation,aif_normalized_mutual_information,hausdorff,mean_surface_distance,median_surface_distance,std_surface_distance,max_surface_distance,overlap_dice,overlap_volume_similarity,overlap_false_negative,overlap_false_positive,peak_t,auc,peak
target_middle,0.4375,42351313,0,0.9981104532877604,0.04580479452054795,1.0,0.08759722027180834,0,0.08184990109116835,1.2944387912984912,0,25.183444726105265,1.2944387912984927,0.0005441681342194259,0.03754760126114039,0.0,0.8753724928798791,17.103203866557724,inf,inf,inf,inf,inf,inf,inf,inf,7,6.098220821502155,0.40686461604127366
target_middle,0.421875,42352525,0,0.9990615844726562,0.034031413612565446,1.0,0.06582279269347854,0,0.13535797210725964,1.9928149573934917,0,25.891850883534403,1.992814957393489,0.0015311379198207353,0.10564851646763074,0.0,0.8831546710328523,12.497151841261624,inf,inf,inf,inf,inf,inf,inf,inf,8,14.192678758406279,0.6581401120018581
target_middle,0.421875,42383725,0,0.9982689751519097,0.040413533834586464,1.0,0.0776874477069221,0,0.00872865525264832,0.12277104367835534,0,1.5014722204947553,-0.12277104367835448,7.051005179596807e-05,0.004865193573921797,0.0,0.8787296933667913,8.712849594022092,inf,inf,inf,inf,inf,inf,inf,inf,11,10.351052385802808,0.5900684318734979
target_middlep,0.4375,35673135,0,0.9979900783962674,0.04085760517799353,1.0,0.07850758228329738,0,0.0714415830089678,0.896556366931796,0,21.513432668320316,-0.8965563669317955,0.0013915303859173165,0.09601559662829484,0.0,0.8985361589392881,9.989207496526122,inf,inf,inf,inf,inf,inf,inf,inf,9,2.4871654455109233,0.40352054088801126
target_middlep,0.4375,40403582,0,0.9989420572916666,0.030303030303030304,1.0,0.05882353650962643,0,0.04551608720538469,1.659157419621632,0,8.828242120931854,1.6591574196216334,0.0007556456294796751,0.05213954843409758,0.0,0.8806639378821111,8.942272278212654,inf,inf,inf,inf,inf,inf,inf,inf,8,8.836463915315125,0.5610897040352355
target_middlep,0.421875,40418168,0,0.9981375800238715,0.03977272727272727,1.0,0.07650273612230879,0,0.10049791513085482,1.9228468797285974,0,25.85771887520751,1.9228468797285956,0.0019132347882174607,0.1320132003870048,0.0,0.8868447666618089,15.613221062840445,inf,inf,inf,inf,inf,inf,inf,inf,8,8.94570581056481,0.4891552271538912
target_middlep,0.4375,40460768,0,0.9987733629014757,0.07005141388174807,1.0,0.13093093615056495,0,0.02748363165569012,1.356044762816472,0,-5.173122776874621,-1.356044762816474,0.0005634242301216018,0.038876271878390524,0.0,0.8571089082774329,9.835175474668395,inf,inf,inf,inf,inf,inf,inf,inf,9,10.05199985545785,0.5037937580585079
target_middlep,0.421875,41122617,0,0.9983690049913194,0.028773346794548207,1.0,0.05593719795909128,0,0.0948679743868574,1.3836075009357334,0,21.172093384096588,-1.383607500935734,0.0014398506644577608,0.0993496958475855,0.0,0.8712233827892135,9.989916656617766,inf,inf,inf,inf,inf,inf,inf,inf,9,9.888947305237549,0.5429482499920909
target_middlep,0.46875,41202961,0,0.9988004896375868,0.04262516914749662,1.0,0.08176509356414606,1,0.007753056327686525,0.2620643149587014,-1,1.6393489657793805,-0.26206431495870275,0.0010126016877260292,0.06986951645309601,0.0,0.8967326850558938,14.583850941235958,inf,inf,inf,inf,inf,inf,inf,inf,8,13.253037105104378,0.4806881354065062
target_middlep,0.453125,41219634,0,0.9975450303819444,0.03337783711615487,1.0,0.06459948622545385,0,0.06947158825884414,1.6969378722893769,0,20.306138016606294,1.696937872289375,0.0013393782267392832,0.09241709764501053,0.0,0.9180154882498348,10.432758141368948,inf,inf,inf,inf,inf,inf,inf,inf,10,9.53495496808479,0.4115927153881412
